,loading,diffusion,diffusion_variance
0,10,2.2399294808217066e-09,2.5350112945546697e-10
1,20,3.767065076760482e-09,9.798110034600517e-10
2,30,5.006132152054362e-09,1.2262948996533187e-09
3,40,5.181446814465269e-09,1.0536842011026666e-09
4,50,4.760346436720619e-09,4.825313587236723e-10
5,60,5.299012539132723e-09,7.446264268585345e-10
6,70,4.721761378733006e-09,8.659301439701764e-10
7,80,5.507797935284217e-09,4.993396336690332e-10
8,90,5.658784554600204e-09,5.940600763176863e-10
9,100,6.863320375664013e-09,2.3248473666531158e-10
10,110,6.59591110152094e-09,4.571189624590241e-10
11,120,7.25986177327691e-09,6.442398226228828e-10
12,130,7.376078531951891e-09,1.0160800300580776e-09
13,140,7.582717618902126e-09,7.966152946837991e-10
14,150,8.173923131094978e-09,1.0317653835971456e-09
15,160,8.681697850073993e-09,5.457240982925021e-10
16,170,8.025702170439086e-09,4.009173951168763e-10
17,180,8.473420583926313e-09,7.697478600323791e-10
18,190,8.75184172499127e-09,7.53845981939349e-10
19,200,8.779041123322283e-09,8.079367387538352e-10
20,250,8.809637800942592e-09,3.1899335253486917e-10
21,350,7.586686418165544e-09,3.880527735534413e-10
22,400,6.837834394211751e-09,2.8774736354284123e-10
23,450,5.774341405274236e-09,3.3754078743956205e-10
