# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         1.8401514540         3.9338618393         2.5480631936         8.3220764869         0.0013870127         0.0014042732
2000         5.2453070671        13.4073027594         3.5966453876        22.2492552141         0.0018541046         0.0019757096
3000         7.8313269529        15.0265726973         5.3115152160        28.1694148662         0.0015649675         0.0018776178
4000         7.0421637215        12.3097772564         4.0045002838        23.3564412617         0.0009731851         0.0012862917
5000         9.9793332518         8.1915775228         4.6903833250        22.8612940995         0.0007620431         0.0008296796
6000        10.3164489672         6.9241769148         6.3041621338        23.5447880158         0.0006540219         0.0005907879
7000         7.8860337906         6.5937560125         6.6448043869        21.1245941899         0.0005029665         0.0004157158
8000         5.6491372507         6.8675443109         6.2943674955        18.8110490570         0.0003918969         0.0002774971
9000         3.7682760035         8.0729989835         6.6695822813        18.5108572683         0.0003427937         0.0001768048
10000         4.6268587196         9.3910526916         6.8106323905        20.8285438016         0.0003471424         0.0001269992
11000         5.2539987402         7.6720637364         7.0932110218        20.0192734985         0.0003033223         0.0000969920
12000         4.4875784788         5.7304285553         6.8159645159        17.0339715499         0.0002365829         0.0000709310
13000         5.6040902167         5.6292172320         6.5807420049        17.8140494535         0.0002283852         0.0000426763
14000         5.2791256885         5.0906426585         6.0586369441        16.4284052912         0.0001955763         0.0000235283
15000        10.0104246235         5.6463534454         4.4654711708        20.1222492398         0.0002235805         0.0000123615
16000        13.1327065841         5.1849384222         8.5880076704        26.9056526767         0.0002802672         0.0000264911
17000         9.8942903325         6.9162111404         8.0317243895        24.8422258624         0.0002435512         0.0000445335
18000        11.0313835666         8.0939074070         8.3635307626        27.4888217362         0.0002545261         0.0000528526
19000        10.2994202577         8.8282097528         5.2990797072        24.4267097177         0.0002142694         0.0000603546
20000        10.7349061206         6.3593209826         5.7266354478        22.8208625511         0.0001901739         0.0000586575
21000        10.1920900147         7.2865316698         7.7149012035        25.1935228880         0.0001999486         0.0000584209
22000        10.1360798943         8.7803769031         5.8319373471        24.7483941444         0.0001874878         0.0000578001
23000         9.3532415541         9.5079799179         6.8039473859        25.6651688579         0.0001859795         0.0000589669
24000        10.0675801707         7.3060632817         9.9404123896        27.3140558420         0.0001896809         0.0000598088
25000        11.5175522618         8.2493231800        13.8165446461        33.5834200879         0.0002238895         0.0000672936
26000        11.9807244575         5.5819840480        14.1282347796        31.6909432851         0.0002031471         0.0000754432
27000        12.4269528279         9.4757711083        15.9861441966        37.8888681328         0.0002338819         0.0000819517
28000        17.4523901252        13.2721560669        14.1554834599        44.8800296520         0.0002671430         0.0000985792
29000        15.3561288484         9.9871699500        17.6702755839        43.0135743823         0.0002472045         0.0001113124
30000        11.4015298969         8.8054669459        19.6029380385        39.8099348813         0.0002211663         0.0001197705
31000        11.9643620711         9.5967683051        21.0155067928        42.5766371690         0.0002289067         0.0001258579
32000        14.4851647844         9.0356238196        23.4821337601        47.0029223641         0.0002448069         0.0001327216
33000        14.0419628341         7.4182473821        19.0955196474        40.5557298636         0.0002048269         0.0001364130
34000        13.9578906152         8.5868333651        17.3080601316        39.8527841119         0.0001953568         0.0001363383
35000        16.1849841100         7.9303440563        16.6560335408        40.7713617071         0.0001941493         0.0001360779
36000        15.2251858990         9.1173970414        19.7789485503        44.1215314907         0.0002042663         0.0001370402
37000        18.3941645951        14.4006818648        17.9695858987        50.7644323586         0.0002286686         0.0001405241
38000        23.0022973380        20.3138730144        15.2980272827        58.6141976351         0.0002570798         0.0001478997
39000        28.4835900113        24.6816436082        18.1227530086        71.2879866281         0.0003046495         0.0001596629
40000        33.1149963410        24.6512183162        24.9437851008        82.7099997580         0.0003446250         0.0001775365
41000        30.3667304478        27.2232762215        28.5399382564        86.1299449257         0.0003501217         0.0001952672
42000        35.4403033497        24.1483676954        24.5179725483        84.1066435933         0.0003337565         0.0002106135
43000        41.8597007778        26.3301942450        25.3659197255        93.5558147483         0.0003626194         0.0002261114
44000        44.2728930734        30.1466692150        27.7511271625       102.1706894508         0.0003870102         0.0002422054
45000        46.7460918426        32.3879892642        28.4320256326       107.5661067394         0.0003983930         0.0002601140
46000        42.8614341058        34.2309248831        26.0057848022       103.0981437912         0.0003735440         0.0002755953
47000        42.4400514274        31.4460558470        23.1569116282        97.0430189026         0.0003441242         0.0002847298
48000        43.0586653692        32.2646867122        21.7335860570        97.0569381384         0.0003370033         0.0002909005
49000        42.3851029477        37.6404768214        29.6426772120       109.6682569812         0.0003730213         0.0002985884
50000        41.8226551989        35.9946673526        34.9502910791       112.7676136305         0.0003758920         0.0003082765
51000        42.5499479330        28.6842612476        31.8135165211       103.0477257017         0.0003367573         0.0003145987
52000        42.7919577002        23.7215615335        29.4985892759        96.0121085096         0.0003077311         0.0003163725
53000        41.4389713285        25.6700940744        29.1870593692        96.2961247721         0.0003028180         0.0003164646
54000        42.5459494345        28.5944083042        32.0235541368       103.1639118755         0.0003184071         0.0003163480
55000        35.8256112876        30.7133640388        29.5786855303        96.1176608567         0.0002912656         0.0003155312
56000        35.2450214719        29.3296232535        26.5361227296        91.1107674549         0.0002711630         0.0003133022
57000        35.8541358243        27.8582472418        27.6059085221        91.3182915882         0.0002670125         0.0003089928
58000        36.2206294699        25.8582592960        32.9947657336        95.0736544995         0.0002732002         0.0003050909
59000        40.7801998842        32.2810971120        29.5504566595       102.6117536557         0.0002898637         0.0003032829
60000        42.6062352466        33.5508705753        29.7960355899       105.9531414118         0.0002943143         0.0003029092
61000        39.5309022381        36.7010212494        28.8573316438       105.0892551314         0.0002871291         0.0003022560
62000        39.6487213207        37.6375871115        29.5641124947       106.8504209269         0.0002872323         0.0003008565
63000        40.6479467683        42.5401300827        29.4183646094       112.6064414604         0.0002979006         0.0003005206
64000        40.7712231541        40.5691894717        29.7020218081       111.0424344339         0.0002891730         0.0003003341
65000        42.2235313500        41.9708113566        34.1018278655       118.2961705721         0.0003033235         0.0002999523
66000        44.3972666624        43.1942428100        31.0169194612       118.6084289337         0.0002995162         0.0003006700
67000        39.0714369433        42.6455941042        31.2085883499       112.9256193974         0.0002809095         0.0002991431
68000        40.0048820754        48.4316920631        38.3236943624       126.7602685009         0.0003106869         0.0002994740
69000        38.0331637360        45.9369585000        36.6447129733       120.6148352094         0.0002913402         0.0002999380
70000        34.0459711757        44.7674715388        32.0865242334       110.8999669479         0.0002640475         0.0002983657
71000        36.7408717660        46.9844660939        36.4469777811       120.1723156410         0.0002820946         0.0002959385
72000        39.9248514414        49.5086125096        32.2693878751       121.7028518261         0.0002817196         0.0002950428
73000        35.1588126380        45.9324016981        30.6366680367       111.7278823728         0.0002550865         0.0002924846
74000        36.9269511278        45.7597591475        34.0433596226       116.7300698979         0.0002629056         0.0002895660
75000        40.6184045174        47.9175076060        39.8124828071       128.3483949305         0.0002852187         0.0002882470
76000        37.4309505904        44.3761370561        41.7844321654       123.5915198120         0.0002710340         0.0002872096
77000        38.1019882121        50.4711228033        36.8139936575       125.3871046728         0.0002714007         0.0002858264
78000        42.1149618735        42.7285991360        28.9585220948       113.8020831042         0.0002431668         0.0002837538
79000        42.0381560110        41.7044015414        30.0883422260       113.8308997784         0.0002401496         0.0002801874
80000        36.6460970297        48.2860405425        34.6414128645       119.5735504368         0.0002491116         0.0002771114
81000        34.7552289250        45.8805940999        38.1270884754       118.7629115003         0.0002443681         0.0002745415
82000        48.1333923455        48.3259276512        36.3236915024       132.7830114990         0.0002698842         0.0002730444
83000        41.0622416548        49.0301639289        34.4394593202       124.5318649039         0.0002500640         0.0002716574
84000        35.4565454247        52.2119586249        36.4031192332       124.0716232827         0.0002461739         0.0002694533
85000        35.5773028538        48.1702732673        36.8774671839       120.6250433050         0.0002365197         0.0002672365
86000        30.6429636288        47.5470888941        33.5366257799       111.7266783028         0.0002165246         0.0002636188
87000        37.4216872425        45.6919162362        32.0813691994       115.1949726780         0.0002206800         0.0002597263
