# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         1.2089480534         0.8496441206         1.0196844059         3.0782765799         0.0005130461         0.0005212102
2000         1.7070020795         1.2876420585         1.5377018582         4.5323459961         0.0003776955         0.0003754720
3000         2.1495454174         1.9375689564         1.8284262517         5.9155406255         0.0003286411         0.0002973010
4000         2.4978320342         2.0723439987         2.0593245869         6.6295006198         0.0002762292         0.0002520753
5000         2.7350330927         2.6084224176         2.3609189956         7.7043745058         0.0002568125         0.0002217430
6000         2.9199738729         2.9429289755         2.9712073709         8.8341102193         0.0002453920         0.0002083892
7000         3.4887036860         3.3835578857         3.2426916357        10.1149532073         0.0002408322         0.0002044409
8000         3.9107337863         4.0664459587         4.3703850499        12.3475647948         0.0002572409         0.0002114438
9000         4.4203055852         4.1949147828         4.6481361810        13.2633565490         0.0002456177         0.0002158135
10000         4.0507927607         4.7489105985         4.9668214955        13.7665248547         0.0002294421         0.0002133351
11000         4.0356823585         4.6753807332         5.0524706236        13.7635337154         0.0002085384         0.0002040666
12000         4.1694198005         4.7304052012         5.0911996653        13.9910246670         0.0001943198         0.0001927892
13000         4.6995577939         4.9240991076         5.2132799141        14.8369368156         0.0001902171         0.0001817401
14000         5.1052376110         5.2507422518         5.5304036470        15.8863835098         0.0001891236         0.0001736731
15000         5.2946756444         5.2946429931         5.8414983271        16.4308169646         0.0001825646         0.0001674650
16000         5.4648632589         5.6810305515         6.1780659158        17.3239597261         0.0001804579         0.0001630136
17000         5.4280685664         6.0960882858         6.4678735404        17.9920303925         0.0001763925         0.0001582728
18000         5.7903464198         5.8644963749         5.8050375339        17.4598803286         0.0001616656         0.0001537903
19000         5.5419469869         5.7107488264         5.9462917675        17.1989875807         0.0001508683         0.0001458273
20000         5.3052292159         6.0444967142         6.3455712480        17.6952971782         0.0001474608         0.0001390432
21000         5.6942446837         6.4295308031         6.3609805388        18.4847560255         0.0001467044         0.0001329075
22000         5.9999549561         6.2290343431         6.9631922476        19.1921815468         0.0001453953         0.0001282010
23000         6.6004598563         5.8136216933         6.9493975610        19.3634791107         0.0001403151         0.0001244959
24000         6.8384426509         6.1405813578         7.5589161260        20.5379401347         0.0001426246         0.0001217469
25000         6.7739319660         6.7262586687         8.2349314927        21.7351221274         0.0001449008         0.0001200720
26000         6.9509345179         7.2862326278         7.6386282083        21.8757953540         0.0001402295         0.0001185087
27000         6.6912562579         7.6092839981         7.7343101364        22.0348503924         0.0001360176         0.0001163788
28000         7.0781221499         7.7535738735         7.9089380055        22.7406340289         0.0001353609         0.0001142102
29000         7.5684461202         7.5272126447         8.7891552824        23.8848140473         0.0001372690         0.0001131955
30000         7.5462061723         8.2100148093         9.7778426031        25.5340635847         0.0001418559         0.0001126686
31000         7.7301160139         8.5425195649         9.3290437457        25.6016793245         0.0001376434         0.0001127819
32000         7.8509509013         8.1962355916         8.9661459156        25.0133324084         0.0001302778         0.0001119944
33000         7.8702342401         8.3112517517         9.5623900454        25.7438760373         0.0001300196         0.0001104625
34000         8.2665621028         8.2743221083         9.6369535484        26.1778377594         0.0001283227         0.0001091474
35000         8.0197549264         8.6213726313         9.7612617159        26.4023892737         0.0001257257         0.0001077969
36000         7.9289033283         9.3189382565         9.2468007376        26.4946423224         0.0001226604         0.0001064717
37000         7.9042198407         9.7200457276         9.6860642056        27.3103297739         0.0001230195         0.0001049915
38000         8.5599609808        10.3642008477        10.5227299907        29.4468918192         0.0001291530         0.0001046867
39000         8.7500382691        10.9018191371        10.9059736956        30.5578311018         0.0001305890         0.0001049545
40000         8.8660820478        10.2718731213        10.4010391841        29.5389943532         0.0001230791         0.0001048724
41000         9.1163579723        10.5556939492        11.0994033455        30.7714552670         0.0001250872         0.0001042188
42000         9.1433025978        11.2581456191        11.1568911620        31.5583393789         0.0001252315         0.0001040589
43000         9.1958816141        11.9098803744        11.9298162864        33.0355782749         0.0001280449         0.0001041609
44000        10.1041637334        11.1969925358        12.6816073399        33.9827636090         0.0001287226         0.0001046502
45000        10.4521056392        11.3700364039        13.0238620766        34.8460041197         0.0001290593         0.0001050936
46000        10.2233349618        11.1646975671        13.2572942014        34.6453267303         0.0001255265         0.0001054467
47000        10.4245446645        10.9429588343        13.5125358757        34.8800393745         0.0001236881         0.0001053842
48000        10.0625966868        11.4481716849        14.0307390050        35.5415073766         0.0001234080         0.0001052098
49000         9.8509173125        12.9009298738        14.6801663727        37.4320135590         0.0001273198         0.0001053723
50000        11.6225922456        12.7972270794        14.6799029474        39.0997222723         0.0001303324         0.0001058616
51000        11.5703976152        13.6770970545        15.4748366908        40.7223313605         0.0001330795         0.0001066781
52000        11.8034906769        13.4426489354        15.7613905869        41.0075301991         0.0001314344         0.0001076852
53000        11.1658433864        13.3185775885        14.8758538038        39.3602747787         0.0001237744         0.0001079687
54000        11.9217050124        13.5798202375        14.8477880482        40.3493132980         0.0001245349         0.0001079267
55000        12.3412463015        15.4938718512        14.0003173597        41.8354355124         0.0001267740         0.0001080299
56000        12.8237204980        14.9302833395        14.2236444669        41.9776483044         0.0001249335         0.0001084388
57000        12.3448050634        16.0966116613        14.7661043030        43.2075210276         0.0001263378         0.0001085951
58000        12.9693217631        16.6816085680        14.7191006186        44.3700309497         0.0001275001         0.0001089018
59000        12.7825643711        15.8059497102        14.7860570114        43.3745710926         0.0001225270         0.0001090386
60000        13.4373840455        14.7675102456        15.0321271788        43.2370214699         0.0001201028         0.0001088755
61000        13.3516114723        15.5436670632        15.5023830590        44.3976615945         0.0001213051         0.0001086399
62000        13.4026956278        16.6974222636        15.8531136300        45.9532315213         0.0001235302         0.0001086117
63000        13.7251504774        16.6076302211        15.6988823501        46.0316630485         0.0001217769         0.0001086835
64000        13.7669653124        16.5768438384        17.2337064819        47.5775156327         0.0001238998         0.0001087015
65000        15.3466615800        17.3934018074        17.3528044456        50.0928678329         0.0001284433         0.0001092589
66000        14.7975007583        17.3131064129        15.8961004187        48.0067075899         0.0001212291         0.0001095527
67000        15.5746789803        17.3053525221        16.1568552049        49.0368867072         0.0001219823         0.0001094588
68000        15.0419549426        18.6739445160        16.3570700236        50.0729694822         0.0001227279         0.0001095508
69000        14.8333739649        17.0696521055        16.7221181802        48.6251442505         0.0001174520         0.0001093896
70000        15.1647318592        18.4813060203        17.3913465859        51.0373844654         0.0001215176         0.0001091680
71000        15.1958473413        18.6987223289        17.3271825330        51.2217522031         0.0001202389         0.0001091794
72000        16.2443749518        19.2521963219        17.2213291362        52.7179004099         0.0001220322         0.0001091446
73000        15.5852229812        18.8725751267        15.9763125809        50.4341106887         0.0001151464         0.0001090240
74000        16.3707170401        18.4899224985        16.0453699482        50.9060094869         0.0001146532         0.0001085336
75000        15.8354857113        19.1073345936        15.9266332155        50.8694535204         0.0001130432         0.0001080363
76000        16.0282566045        18.8317642230        16.7971478131        51.6571686407         0.0001132833         0.0001075064
77000        17.1535925545        19.1515363378        17.6095409541        53.9146698464         0.0001166984         0.0001072136
78000        17.3977856468        19.0645275620        17.3431055811        53.8054187899         0.0001149688         0.0001070391
79000        17.5625596684        19.9289689230        17.2422739069        54.7338024983         0.0001154722         0.0001068911
80000        17.6463457549        20.9061066151        17.0025924911        55.5550448611         0.0001157397         0.0001066505
81000        18.0666721581        20.6360089946        17.6980232865        56.4007044393         0.0001160508         0.0001065896
82000        17.4368545209        21.0993721374        18.4346183097        56.9708449680         0.0001157944         0.0001064192
83000        17.6235705484        20.5191114075        18.6416005925        56.7842825484         0.0001140247         0.0001063383
84000        18.3683953881        20.7822302027        18.7373920181        57.8880176090         0.0001148572         0.0001061046
85000        18.4522284738        21.8251964513        17.7248704366        58.0022953617         0.0001137300         0.0001059292
86000        18.2531918345        21.7489957099        17.5342146766        57.5364022211         0.0001115047         0.0001056511
