,pressure[bar],cub_pore_amount,tet_pore_amount,oct_pore_amount,total
0,0.025,30.4,7.66,0.88,38.940000000000005
38,0.05,46.94,16.8,2.46,66.19999999999999
10,0.075,54.26,24.0,4.52,82.77999999999999
27,0.1,61.58,32.54,6.4,100.52000000000001
17,0.125,57.12,35.12,8.12,100.36
35,0.15,60.24,39.44,12.16,111.84
34,0.175,64.82,45.86,13.92,124.6
1,0.2,67.52,46.56,17.76,131.84
24,0.225,66.48,52.54,20.28,139.3
32,0.25,67.6,58.28,30.6,156.48
12,0.275,72.74,183.62,268.3,524.6600000000001
2,0.3,70.32,181.64,268.38,520.3399999999999
9,0.325,73.2,187.04,272.56,532.8
18,0.35,74.86,178.86,272.84,526.56
29,0.375,74.96,186.88,280.5,542.3399999999999
26,0.4,71.48,192.44,282.56,546.48
3,0.425,74.32,182.8,277.76,534.88
5,0.45,76.32,186.12,288.28,550.72
28,0.475,74.46,185.42,279.62,539.5
6,0.5,75.72,194.78,279.8,550.3
30,0.525,71.38,195.44,285.42,552.24
16,0.55,69.66,194.78,273.96,538.4
21,0.575,74.98,194.82,281.78,551.5799999999999
39,0.6,77.14,191.04,287.24,555.4200000000001
8,0.625,79.08,194.2,286.24,559.52
23,0.65,72.32,191.52,281.18,545.02
13,0.675,75.16,193.3,293.82,562.28
4,0.7,75.76,193.02,287.72,556.5
14,0.725,73.98,192.68,286.84,553.5
33,0.75,72.88,198.42,288.16,559.46
15,0.775,71.96,198.74,304.7,575.4
25,0.8,75.26,195.38,296.14,566.78
11,0.825,76.94,197.02,289.8,563.76
7,0.85,77.16,194.02,288.44,559.62
20,0.875,75.06,195.6,297.8,568.46
31,0.9,75.92,199.48,296.22,571.62
37,0.925,78.62,199.56,289.84,568.02
19,0.95,75.84,194.08,294.66,564.58
22,0.975,75.18,199.4,296.34,570.9200000000001
36,1.0,73.88,199.26,292.02,565.16
