,pressure[bar],cub_pore_amount,tet_pore_amount,oct_pore_amount,total
0,0.025,32.24,7.52,1.04,40.800000000000004
38,0.05,48.14,17.68,2.7,68.52
10,0.075,53.7,25.94,4.16,83.8
27,0.1,59.38,32.84,7.3,99.52
17,0.125,61.16,36.2,8.36,105.72
35,0.15,63.18,40.24,11.58,115.0
34,0.175,61.98,42.94,12.82,117.73999999999998
1,0.2,69.76,183.16,242.1,495.02
24,0.225,70.62,174.26,262.54,507.42
32,0.25,68.98,180.76,265.86,515.6
12,0.275,71.44,178.12,263.08,512.64
2,0.3,74.4,180.84,274.06,529.3
9,0.325,72.58,187.26,267.72,527.56
18,0.35,79.06,182.22,274.44,535.72
29,0.375,74.36,179.52,273.86,527.74
26,0.4,75.78,179.46,275.9,531.14
3,0.425,72.74,191.9,273.1,537.74
5,0.45,77.32,195.22,281.98,554.52
28,0.475,75.28,189.38,283.9,548.56
6,0.5,71.78,195.06,282.36,549.2
30,0.525,75.36,188.14,275.38,538.88
16,0.55,75.1,185.28,286.12,546.5
21,0.575,75.22,192.14,286.7,554.06
39,0.6,74.56,186.78,292.88,554.22
8,0.625,72.84,191.76,288.26,552.86
23,0.65,79.6,190.62,291.84,562.06
13,0.675,72.78,191.66,286.68,551.12
4,0.7,73.16,195.78,285.66,554.6
14,0.725,79.94,187.12,292.74,559.8
33,0.75,77.82,186.62,292.76,557.2
15,0.775,76.84,193.98,290.96,561.78
25,0.8,74.96,201.24,284.42,560.62
11,0.825,76.22,198.04,288.62,562.88
7,0.85,74.64,195.6,296.06,566.3
20,0.875,76.9,198.84,296.14,571.88
31,0.9,79.1,188.14,292.16,559.4000000000001
37,0.925,76.46,196.28,288.68,561.4200000000001
19,0.95,80.24,200.06,291.98,572.28
22,0.975,78.68,189.58,297.42,565.6800000000001
36,1.0,74.12,191.96,289.86,555.94
