,loading[molec.UC-1],diffusivity[m2/s],errorloading[molec.UC-1],errordiffusivity[m2/s]
0,49.0,2.3381802681966073e-09,4.242640687119285,3.3517340361327095e-10
1,75.5,2.9385954192198877e-09,5.686240703077325,1.7931783887409787e-10
2,84.25,3.293720195541761e-09,4.991659710623979,4.965625806714793e-10
3,102.5,4.4273480912149e-09,6.4549722436790296,5.691110052483105e-10
4,118.0,5.520579200855398e-09,6.218252702059211,9.300421005584522e-10
5,124.0,5.799930396468073e-09,6.055300708194982,9.536316345212098e-10
6,140.75,6.72095481582634e-09,4.924428900898052,4.636043001558959e-10
7,146.75,7.889522989859075e-09,3.7749172176353767,4.1616413100582586e-10
8,197.5,8.744901334007905e-09,9.000000000000002,3.593815725444023e-10
9,514.0,4.973420388802335e-09,0.816496580927726,2.1545649146527405e-10
10,510.5,5.26529995510272e-09,1.2909944487358056,1.1466352062446668e-10
11,496.5,5.503095743010986e-09,1.0,1.0176310494705118e-10
12,517.25,4.840258051954854e-09,0.4999999999999905,1.5413284734935496e-10
13,522.75,4.679100004397005e-09,0.5,8.781865011321968e-11
14,520.0,4.7662258855731946e-09,0.816496580927726,2.1718532146330116e-10
15,516.75,4.8880988161297065e-09,1.2583057392117953,1.9513775189776645e-10
16,526.75,4.594560377693464e-09,1.2583057392117953,1.743504306753406e-10
17,535.0,4.269432268199748e-09,0.816496580927726,1.1938548819205786e-10
18,537.5,4.382308529719673e-09,0.5773502691896257,1.0795420591485923e-10
19,545.25,4.073275038158304e-09,0.9574271077563381,1.219025504103176e-10
20,543.0,4.174558885508838e-09,,
21,541.0,4.249245697779824e-09,,
22,540.0,4.356672885271057e-09,,
23,546.0,4.519339603476325e-09,,
24,547.0,4.066972603327462e-09,,
25,535.0,4.477169014306634e-09,,
26,547.0,4.188922176787826e-09,,
27,544.0,4.680911147080105e-09,,
28,552.0,3.927932067861398e-09,,
29,551.0,4.2595281589597754e-09,,
30,545.0,3.955285152624169e-09,,
31,554.0,4.073479141414476e-09,,
32,551.0,3.800756932136065e-09,,
33,545.0,4.324941844038559e-09,,
34,546.0,4.469467083971673e-09,,
35,561.0,3.8590616839129e-09,,
36,554.0,3.8643394246239225e-09,,
37,562.0,3.815704717136219e-09,,
38,554.0,4.063979623372453e-09,,
39,564.0,3.5911458317615508e-09,,
