,pressure[bar],diffusivity[m2/s],errordiffusivity[m2/s]
0,0.025,2.3381802681966073e-09,3.3517340361327095e-10
1,0.05,2.9385954192198877e-09,1.7931783887409787e-10
2,0.075,3.293720195541761e-09,4.965625806714793e-10
3,0.1,4.4273480912149e-09,5.691110052483105e-10
4,0.125,5.520579200855398e-09,9.300421005584522e-10
5,0.15,5.799930396468073e-09,9.536316345212098e-10
6,0.175,6.72095481582634e-09,4.636043001558959e-10
7,0.2,7.889522989859075e-09,4.1616413100582586e-10
8,0.225,8.744901334007905e-09,3.593815725444023e-10
9,0.25,4.973420388802335e-09,2.1545649146527405e-10
10,0.275,5.26529995510272e-09,1.1466352062446668e-10
11,0.3,5.503095743010986e-09,1.0176310494705118e-10
12,0.325,4.840258051954854e-09,1.5413284734935496e-10
13,0.35,4.679100004397005e-09,8.781865011321968e-11
14,0.375,4.7662258855731946e-09,2.1718532146330116e-10
15,0.4,4.8880988161297065e-09,1.9513775189776645e-10
16,0.425,4.594560377693464e-09,1.743504306753406e-10
17,0.45,4.269432268199748e-09,1.1938548819205786e-10
18,0.475,4.382308529719673e-09,1.0795420591485923e-10
19,0.5,4.073275038158304e-09,1.219025504103176e-10
20,0.525,4.174558885508838e-09,
21,0.55,4.249245697779824e-09,
22,0.575,4.356672885271057e-09,
23,0.6,4.519339603476325e-09,
24,0.625,4.066972603327462e-09,
25,0.65,4.477169014306634e-09,
26,0.675,4.188922176787826e-09,
27,0.7,4.680911147080105e-09,
28,0.725,3.927932067861398e-09,
29,0.75,4.2595281589597754e-09,
30,0.775,3.955285152624169e-09,
31,0.8,4.073479141414476e-09,
32,0.825,3.800756932136065e-09,
33,0.85,4.324941844038559e-09,
34,0.875,4.469467083971673e-09,
35,0.9,3.8590616839129e-09,
36,0.925,3.8643394246239225e-09,
37,0.95,3.815704717136219e-09,
38,0.975,4.063979623372453e-09,
39,1.0,3.5911458317615508e-09,
