,pressure[bar],average_amount,error_amount
0,0.025,42.71457085828343,5.736075499955234
38,0.05,67.90219560878243,6.1270982124209
10,0.075,82.52495009980039,6.329435420479535
27,0.1,94.26347305389221,6.926938584790365
17,0.125,103.38522954091816,6.667263051957497
35,0.15,112.04191616766467,6.576149939357243
34,0.175,122.68063872255489,7.6616188618365415
1,0.2,131.0998003992016,8.786785803157983
24,0.225,138.73852295409182,9.802108464675625
32,0.25,156.58483033932137,12.45572155366011
12,0.275,352.18562874251495,162.6455542596018
2,0.3,523.8183632734531,8.757827529114117
9,0.325,528.5528942115768,5.78418386989081
18,0.35,533.7025948103792,6.058050289233266
29,0.375,536.3033932135728,5.688501592014293
26,0.4,542.6706586826348,4.829355238665614
3,0.425,538.189620758483,3.444161372637277
5,0.45,549.189620758483,3.5677044476577024
28,0.475,546.8443113772455,6.453249083012023
6,0.5,549.0678642714571,3.042510720863245
30,0.525,551.1956087824351,3.6789389089316784
16,0.55,547.6986027944112,5.262280385365623
21,0.575,546.9061876247505,4.109429014240347
39,0.6,555.4910179640718,6.284538829943412
8,0.625,558.7285429141716,5.49125267682459
23,0.65,548.3932135728543,5.62599060714396
13,0.675,558.6626746506986,4.562275235153348
4,0.7,559.2215568862275,4.53295918064466
14,0.725,559.8363273453094,4.496745073064125
33,0.75,561.7265469061877,3.271340781892474
15,0.775,569.8063872255489,5.915273299294446
25,0.8,568.6646706586827,3.2035611019379147
11,0.825,565.1656686626746,3.375161562185476
7,0.85,561.0319361277445,3.69643757453407
20,0.875,566.4650698602794,2.3191637295157013
31,0.9,565.2674650698602,5.204051791746033
37,0.925,567.5289421157685,4.453985261451172
19,0.95,558.3892215568862,3.809092440775051
22,0.975,570.3353293413173,3.5217217795748574
36,1.0,569.5728542914171,5.36317576889574
